unit_id,dtime,fetch_time,bytes_total,bytes_sec
24734365,2021-01-21 11:50:41,3003103,4249218,1414942
24734365,2021-01-21 13:50:41,3161369,4250566,1344533
24734365,2021-01-21 15:50:48,2896136,4225804,1459117
24734365,2021-01-21 19:50:41,2974874,4226497,1420731
24734365,2021-01-21 21:50:42,3335488,4224644,1266574
24734365,2021-01-21 23:51:56,3068419,4225360,1377047
24734365,2021-01-22 01:50:41,2972260,4225518,1421651
24734365,2021-01-22 03:50:42,3171375,4224606,1332105
24734365,2021-01-22 05:50:42,3083805,4224715,1369968
24734365,2021-01-22 07:51:56,3226177,4225269,1309682
24734365,2021-01-22 09:50:46,4721283,4227866,895490
24734365,2021-01-22 11:50:41,3247850,4227880,1301747
24734365,2021-01-22 13:50:41,3104248,4227454,1361828
24734365,2021-01-22 17:50:51,3020378,4228918,1400128
24734365,2021-01-22 19:50:41,2995336,4225904,1410828
24734365,2021-01-22 21:50:41,3081821,4226295,1371362
24734365,2021-01-22 23:50:41,3268963,4225438,1292592
24734365,2021-01-23 01:50:42,2941637,4225506,1436447
24734365,2021-01-23 03:50:41,3133670,4224848,1348210
24734365,2021-01-23 05:50:42,2951474,4225476,1431649
24734365,2021-01-23 07:51:56,3264355,4226403,1294713
24734365,2021-01-23 09:50:42,3066028,4225487,1378163
24734365,2021-01-23 11:50:41,2980077,4224890,1417711
24734365,2021-01-23 13:50:41,3215380,4223856,1313641
24734365,2021-01-23 15:51:57,3237462,4221960,1304095
24734365,2021-01-23 17:50:41,3077289,4223503,1372475
24734365,2021-01-23 19:50:41,2877174,4223503,1467934
24734365,2021-01-23 21:50:42,3105383,4223503,1360058
24734365,2021-01-23 23:50:42,3138835,4223503,1345563
24734365,2021-01-24 01:50:42,3373028,4222463,1251831
24734365,2021-01-24 03:50:49,3208368,4221857,1315889
24734365,2021-01-24 05:50:41,3284469,4222413,1285569
24734365,2021-01-24 11:50:42,3268810,4221106,1291328
24734365,2021-01-24 13:50:41,2958845,4223053,1427264
24734365,2021-01-24 15:50:41,3078762,4225648,1372515
24734365,2021-01-24 17:50:41,3355889,4227036,1259587
24734365,2021-01-24 19:50:51,3048440,4227036,1386622
24734365,2021-01-24 21:50:46,3032111,4227036,1394090
24734365,2021-01-25 07:50:42,3331852,4223661,1267661
